timestamp,channelTitle,id,title,viewCount,likeCount,commentCount,duration
2026-03-28 19:46:19,HugoX ChugoX,yuhjh44aMTQ,🇵🇪🇲🇽 LA CONEXIÓN PERDIDA ENTRE PERÚ Y MÉXICO,98355,4621,966,PT14M20S
2026-03-28 19:46:19,HugoX ChugoX,M8crh0gNm3o,🇵🇪 🇲🇽 PERÚ y MÉXICO ROMPEN RELACIONES POR UNA PERSONA,64309,3328,1042,PT12M43S
2026-03-28 19:46:19,HugoX ChugoX,M0OS0OUT3r4,¿Por qué el Banco Central de Reserva del Perú es tan EXITOSO?,140007,7443,1104,PT11M31S
2026-03-28 19:46:19,HugoX ChugoX,nxttOtTH30c,MEGAPUERTO DE CHANCAY POR DENTRO | Así funciona,44240,1929,167,PT12M17S
2026-03-28 19:46:19,HugoX ChugoX,vjSPu2q9qJQ,Así te cambia la vida cuando accedes a tu primera vivienda,54355,2704,395,PT13M26S
2026-03-28 19:46:19,HugoX ChugoX,XfnWyjOZSwc,MARCHA NACIONAL 15 de octubre. ¿Por qué marchan?,86016,4648,1760,PT15M38S
2026-03-28 19:46:19,HugoX ChugoX,pq_QDJJdHMw,El final de Dina y el Primer Presidente milenial del Perú,303781,14350,2537,PT14M26S
2026-03-28 19:46:19,HugoX ChugoX,tiCffiTMDxQ,🇲🇽🇵🇪 MÉXICO CONQUISTÓ PERÚ ...espera... ¿QUÉ?,105332,7257,4457,PT14M45S
2026-03-28 19:46:19,HugoX ChugoX,Sg04dVxbA_U,"¿Por qué es muy RELEVANTE la captura del ""MONSTRUO""?",174772,6716,699,PT11M48S
2026-03-28 19:46:19,HugoX ChugoX,0Q_kEGjSO6I,Encontré una CIUDAD FANTASMA en medio del desierto,199776,4146,480,PT10M4S
2026-03-28 19:46:19,HugoX ChugoX,zUfqDdTdqzY,"Un policía me reconoce, me saluda pero me repliega tras unas rejas",64122,3506,1086,PT15M43S
2026-03-28 19:46:19,HugoX ChugoX,oaEXOqQvS-M,Todo lo que necesitas saber sobre la LEY DE PENSIONES y AFP ,96436,3787,499,PT14M40S
2026-03-28 19:46:19,HugoX ChugoX,EJg1PCnrDlM,💧¿EL FINAL DEL PROYECTO OLMOS? 🍋,38317,1484,171,PT29M51S
2026-03-28 19:46:19,HugoX ChugoX,wsLstrVu7UM,🇵🇪 Perú se retira de la CIDH 🤷‍♂️ pero es retroactiva. Te lo explico,165602,9510,2622,PT18M19S
2026-03-28 19:46:19,HugoX ChugoX,vs6mQqPMn-A,🇵🇪 HISTORIA TERRITORIAL DEL PERÚ | ✍️Curso completo gratuito,207698,6693,1592,PT24M45S
2026-03-28 19:46:19,HugoX ChugoX,7ifX2oiS9gc,EL COLAPSO DE MACHU PICCHU,545390,22738,3424,PT19M24S
2026-03-28 19:46:19,HugoX ChugoX,ITv-WqmdU04,Evolución de la Isla Chinería (Santa Rosa) a través de los años,140236,6196,1137,PT11M41S
2026-03-28 19:46:19,HugoX ChugoX,uzOm7e54RNM,LETICIA Y SANTA ROSA (Parte 2) Explicación al detalle.,299659,17068,2679,PT14M40S
2026-03-28 19:46:19,HugoX ChugoX,Tp0O5PiCHF4,💣¿QUÉ ESTÁ PASANDO en LETICIA y LORETO?🇵🇪🇨🇴 Te cuento la historia completa,683374,30733,4113,PT14M45S
2026-03-28 19:46:19,HugoX ChugoX,_ZAh-wctzSo,Alquiler de Niños para fines de MENDIGUEZ en Perú,47381,3452,325,PT11M20S
2026-03-28 19:46:19,HugoX ChugoX,Tg7jE-HPUiU,RESUMEN DEL MENSAJE A LA NACIÓN DE DINA BOLUARTE,273955,8998,935,PT11M19S
